SwUFn ID	함수명	Prototype(발췌)	계층	현재 Related ID	SwFn 후보 (검증 후 택1)	비고	팀 확정
SwUFn_0422	u16s_ApiIn_ClampTemperature	static U16 u16s_ApiIn_ClampTemperature( S16 s16t_Temperature )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0441	u16s_ApiIn_ScaledVoltage_10000_1992	static U16 u16s_ApiIn_ScaledVoltage_10000_1992( U16 u16t_Data )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0434	u32s_ApiIn_AddU32_Guarded	static U32 u32s_ApiIn_AddU32_Guarded( U32 u32t_Lhs, U32 u32t_Rhs )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0436	u32s_ApiIn_MulU32_Guarded	static U32 u32s_ApiIn_MulU32_Guarded( U32 u32t_Lhs, U32 u32t_Rhs )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0435	u32s_ApiIn_SubU32_Guarded	static U32 u32s_ApiIn_SubU32_Guarded( U32 u32t_Lhs, U32 u32t_Rhs )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0440	u8s_ApiIn_U16ToU8_Guarded	static U8 u8s_ApiIn_U16ToU8_Guarded( U16 u16t_Value )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0504	s_Ap_ExecuteControlFunctions	static void s_Ap_ExecuteControlFunctions( void )	APP	SWCOM_05	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 14개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0614	s_ApiOut_DataValidCntInc	static void s_ApiOut_DataValidCntInc( void )	APP	SWCOM_06	SWFN_02, SWFN_03, SWFN_04, SWFN_07, SWFN_08, SWFN_09, SWFN_32, SWFN_05, SWFN_39, SWFN_38, SWFN_01, SWFN_13	후보 12개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0807	s_ProcessMotorDirection	static void s_ProcessMotorDirection( U8 State, U16 Speed )	APP	SWCOM_08	SWFN_02, SWFN_03, SWFN_04, SWFN_07, SWFN_08, SWFN_32, SWFN_05, SWFN_38, SWFN_01, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0922	s_SysCtrl_IncU16_Sat	static U16 s_SysCtrl_IncU16_Sat( U16 u16t_Value )	APP	SWCOM_09	SWFN_02, SWFN_03, SWFN_04, SWFN_32, SWFN_43, SWFN_50, SWFN_52, SWFN_53, SWFN_05, SWFN_42, SWFN_51	후보 11개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0923	s_SysCtrl_IncU8_Sat	static U8 s_SysCtrl_IncU8_Sat( U8 u8t_Value )	APP	SWCOM_09	SWFN_02, SWFN_03, SWFN_04, SWFN_32, SWFN_43, SWFN_50, SWFN_52, SWFN_53, SWFN_05, SWFN_42, SWFN_51	후보 11개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0924	s_SystemResetCheck	static void s_SystemResetCheck(void)	APP	SWCOM_09	SWFN_02, SWFN_03, SWFN_04, SWFN_32, SWFN_43, SWFN_50, SWFN_52, SWFN_53, SWFN_05, SWFN_42, SWFN_51	후보 11개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0917	u8s_E2E_0_FailureCheck	static U8 u8s_E2E_0_FailureCheck( void )	APP	SWCOM_09	SWFN_02, SWFN_03, SWFN_04, SWFN_32, SWFN_43, SWFN_50, SWFN_52, SWFN_53, SWFN_05, SWFN_42, SWFN_51	후보 11개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0918	u8s_E2E_1_FailureCheck	static U8 u8s_E2E_1_FailureCheck( void )	APP	SWCOM_09	SWFN_02, SWFN_03, SWFN_04, SWFN_32, SWFN_43, SWFN_50, SWFN_52, SWFN_53, SWFN_05, SWFN_42, SWFN_51	후보 11개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1008	s_Sleep_ConfigureLIN	static void s_Sleep_ConfigureLIN(void)	APP	SWCOM_10	SWFN_47		
SwUFn_1006	s_Sleep_DisableInterrupts	static void s_Sleep_DisableInterrupts(void)	APP	SWCOM_10	SWFN_47		
SwUFn_1010	s_Sleep_DisableMotorControl	static void s_Sleep_DisableMotorControl	APP	SWCOM_10	SWFN_47		
SwUFn_1007	s_Sleep_DisablePower	static void s_Sleep_DisablePower(void)	APP	SWCOM_10	SWFN_47		
SwUFn_1009	s_Sleep_EnterSleepMode	static void s_Sleep_EnterSleepMode(void)	APP	SWCOM_10	SWFN_47		
SwUFn_1012	s_Wake_Up_ADC_Init	static void s_Wake_Up_ADC_Init(void)	APP	SWCOM_10	SWFN_47		
SwUFn_1011	s_Wake_Up_LIN_Init	static void s_Wake_Up_LIN_Init(void)	APP	SWCOM_10	SWFN_47		
SwUFn_1013	s_Wake_Up_Power_Enable	static void s_Wake_Up_Power_Enable(void)	APP	SWCOM_10	SWFN_47		
SwUFn_1014	s_Wake_Up_System_Init	static void s_Wake_Up_System_Init(void)	APP	SWCOM_10	SWFN_47		
SwUFn_1231	s_DiagCtrlMain_MCUChecks	static void s_DiagCtrlMain_MCUChecks(void)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1254	s_LowVoltComp_UpdateBaseVsup	static void s_LowVoltComp_UpdateBaseVsup(U16 u16t_EffCurrent)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1255	s_LowVoltComp_UpdateLearnK	static void s_LowVoltComp_UpdateLearnK(U16 u16t_EffCurrent, U16 u16t_E	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1247	s_MotorBattShortRun_HandleDefault	static U16 s_MotorBattShortRun_HandleDefault(void)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1246	s_MotorBattShortRun_HandleError	static U16 s_MotorBattShortRun_HandleError(U8 u8t_ShortDetected)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1245	s_MotorBattShortRun_HandleNormal	static U16 s_MotorBattShortRun_HandleNormal(U8 u8t_ShortDetected)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1244	s_MotorBattShortRun_IsShortDetected	static U8 s_MotorBattShortRun_IsShortDetected(void)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1235	s_VDS_HandleClearCtrl	static DiagStep_t s_VDS_HandleClearCtrl(U8 u8t_RW_Cmd, U8 u8t_FrameSiz	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1225	u16s_DiagCheck_HB_Helper1	static U16 u16s_DiagCheck_HB_Helper1( void )	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1226	u16s_DiagCheck_HB_Helper2	static U16 u16s_DiagCheck_HB_Helper2( void )	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1224	u16s_DiagCheck_LB_Helper	static U16 u16s_DiagCheck_LB_Helper( void )	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1252	u16s_LowVoltComp_CalcEffCurrent	static U16 u16s_LowVoltComp_CalcEffCurrent(void)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1253	u16s_LowVoltComp_CalcExpectedSag	static U16 u16s_LowVoltComp_CalcExpectedSag(U16 u16t_EffCurrent)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1256	u16s_LowVoltComp_UpdateAndGetBattVsup	static U16 u16s_LowVoltComp_UpdateAndGetBattVsup(void)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1248	u16s_MotorBattShortRun	static U16 u16s_MotorBattShortRun( void )	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1240	u16s_MotorOverHeat_CheckErrorState	static U16 u16s_MotorOverHeat_CheckErrorState( U16 u16t_MotorTemp )	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1239	u16s_MotorOverHeat_CheckNormalState	static U16 u16s_MotorOverHeat_CheckNormalState( U16 u16t_MotorTemp )	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1230	u16s_TempSensor_Check	static U16 u16s_TempSensor_Check( void )	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1249	u32s_LowVoltComp_AddU32_Guarded	static U32 u32s_LowVoltComp_AddU32_Guarded(U32 u32t_Lhs, U32 u32t_Rhs)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_1251	u32s_LowVoltComp_MulU32_Guarded	static U32 u32s_LowVoltComp_MulU32_Guarded(U32 u32t_Lhs, U32 u32t_Rhs)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_1250	u32s_LowVoltComp_SubU32_Guarded	static U32 u32s_LowVoltComp_SubU32_Guarded(U32 u32t_Lhs, U32 u32t_Rhs)	APP	SWCOM_12	SWFN_25, SWFN_33, SWFN_34, SWFN_40, SWFN_44, SWFN_45, SWFN_35, SWFN_37, SWFN_39, SWFN_13	후보 10개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_1397	g_Ap_DoorPreCtrl_GetActiveHoldingTm	U16 g_Ap_DoorPreCtrl_GetActiveHoldingTm( void )	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1391	s16_ClampS16	static S16 s16_ClampS16(S16 s16t_InputVal, S16 vmin, S16 vmax)	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_1392	s16_GetTempOffset_FromLut	static S16 s16_GetTempOffset_FromLut(U8 u8_TempCode, const S16 *pOffse	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1389	s16_GetTempRatio	static S16 s16_GetTempRatio(U8 u8_TempCode)	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1394	s16_Interp3_BySlope	static S16 s16_Interp3_BySlope(S16 slopeDeg, S16 low, S16 flat, S16 hi	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1390	s16_Lerp	static S16 s16_Lerp(U8 u8t_InputX, U8 u8t_LeftX, U8 u8t_RightX, S16 s1	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1393	s16_LerpSlope_S16	static S16 s16_LerpSlope_S16(S16 s16t_InputX, S16 s16t_LowerX, S16 s16	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1344	s16s_DoorStopPosition_AssistClose	static S16 s16s_DoorStopPosition_AssistClose( S16 s16t_Data )	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1319	s_ActiveHoldingTimeCheck	static void s_ActiveHoldingTimeCheck( void )	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_13146	s_AntiPinchClose_UpdateDecel	static void s_AntiPinchClose_UpdateDecel(U8 u8t_AfterStartZone_F)	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_13148	s_AntiPinchClose_UpdateLowSpeed	static void s_AntiPinchClose_UpdateLowSpeed(U8 u8t_AfterStartZone_F)	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_13147	s_AntiPinchClose_UpdateNoProgress	static void s_AntiPinchClose_UpdateNoProgress(U8 u8t_AfterStartZone_F)	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_13149	s_AntiPinchDetect_Close_Decel	void s_AntiPinchDetect_Close_Decel(void)	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1304	s_Ap_Diagnostic	static void s_Ap_Diagnostic( void )	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_1399	s_Ap_PreviousCtrl_ResetActiveOffsetLut	static void s_Ap_PreviousCtrl_ResetActiveOffsetLut(void)	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_13101	s_Ap_PreviousCtrl_ResetCounters	static void s_Ap_PreviousCtrl_ResetCounters(void)	APP	SWCOM_13	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_25, SWFN_32, SWFN_41, SWFN_05, SWFN_01, SWFN_13	후보 13개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
