SDS 함수	분류	소스 근거
u16g_drvin_vcc_hall_mon	NO_IMPL	소스에 정의 없음
u16g_drvin_vsup	NO_IMPL	소스에 정의 없음
u16g_motorctrl_targetspeed	NO_IMPL	소스에 정의 없음
u16g_sysdiag_systemstatus	NO_IMPL	소스에 정의 없음
u16g_sysoptctrl_aintipinchdetectspd	NO_IMPL	소스에 정의 없음
u16g_sysoptctrl_overopendeg	NO_IMPL	소스에 정의 없음
u16g_sysuds_usmotorpwm	NO_IMPL	소스에 정의 없음
u16s_direction_check	NO_IMPL	소스에 정의 없음
u16s_motorshortbatta1_check	NO_IMPL	소스에 정의 없음
u16s_motorshutdown_check	NO_IMPL	소스에 정의 없음
u16s_motorspdctrl_assistclose	NO_IMPL	소스에 정의 없음
u16s_motorspdctrl_assistopen	NO_IMPL	소스에 정의 없음
u16s_motorspdctrl_autoclose	NO_IMPL	소스에 정의 없음
u16s_motorspdctrl_autoopen	NO_IMPL	소스에 정의 없음
u8g_ap_antipinchstate_old	NO_IMPL	소스에 정의 없음
u8g_ap_doorstate_old	NO_IMPL	소스에 정의 없음
u8g_ap_linrx_movementreq_old	NO_IMPL	소스에 정의 없음
u8g_apiin_datavalidcnt	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_ambienttemperature	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_antipinchflagfeedback	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_asstdrswsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_asstsdwdwsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_asstventilationlevel	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_checksum_vehiclespeede2e	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_counter_vehiclespeede2e	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_drvdrswsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_drvrsdwdwsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_drvventilationlevel	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_ignswsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_lataccelerationstate	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_latchstate	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_longaccelerationstate	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_movementreq	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_rearventilationleve	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_rearventilationlevel	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_recirculationairstate	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_requestsource	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_rrlftdrswsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_rrlftwdwsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_rrrtdrswsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_rrrtwdwsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_sunroofopnsta	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_usm_drbuzzeropt	NO_IMPL	소스에 정의 없음
u8g_apiin_linrx_usmdoorclosespeed	NO_IMPL	소스에 정의 없음
u8g_apiin_linrxcomp_linfail_f	NO_IMPL	소스에 정의 없음
u8g_apiin_motorcountspeed	NO_IMPL	소스에 정의 없음
u8g_apiin_motordirection	NO_IMPL	소스에 정의 없음
u8g_apiout_antipinchlin_f	NO_IMPL	소스에 정의 없음
u8g_apiout_buzzerctrl	NO_IMPL	소스에 정의 없음
u8g_apiout_datavalidcnt	NO_IMPL	소스에 정의 없음
u8g_apiout_doorangle	NO_IMPL	소스에 정의 없음
u8g_apiout_doorstate	NO_IMPL	소스에 정의 없음
u8g_apiout_motorctrl	NO_IMPL	소스에 정의 없음
u8g_apiout_motorcurrent	NO_IMPL	소스에 정의 없음
u8g_apiout_vsup	NO_IMPL	소스에 정의 없음
u8g_buzzerctrl_buzzerctrl	NO_IMPL	소스에 정의 없음
u8g_cpu_onillegalopcode_f	NO_IMPL	소스에 정의 없음
u8g_cpu_onlvdstatuschanged_f	NO_IMPL	소스에 정의 없음
u8g_cpu_onmachineexception_f	NO_IMPL	소스에 정의 없음
u8g_cpu_onoscstatuschanged_f	NO_IMPL	소스에 정의 없음
u8g_cpu_onplllockstatuschanged_f	NO_IMPL	소스에 정의 없음
u8g_cpu_onreset_f	NO_IMPL	소스에 정의 없음
u8g_cpu_onspareopcode_f	NO_IMPL	소스에 정의 없음
u8g_cpu_onspuriousinterrupt_f	NO_IMPL	소스에 정의 없음
u8g_cpu_onsram_eccerror_f	NO_IMPL	소스에 정의 없음
u8g_doorctrl_doorstate	NO_IMPL	소스에 정의 없음
u8g_doorctrl_doorstate_old	NO_IMPL	소스에 정의 없음
u8g_doorctrl_shortbrakeon_f	NO_IMPL	소스에 정의 없음
u8g_doorctrl_shortbrakeuse_f	NO_IMPL	소스에 정의 없음
u8g_doorctrl_slipchkspd	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_antipinchlin_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_antipinchsts	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_arrivaltagetpos_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_astclosedeactiv_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_astopendeactiv_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_batthighsts	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_battlowsts	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_deactiventer_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_deceldrmovspd_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_drslipsts_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_drstopsts_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_encoderfailsts_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_ignlowsts	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_playprotectlvl	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_recirculairsts_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_temperature	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_tip2runprev_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_unfavorpressure_f	NO_IMPL	소스에 정의 없음
u8g_doorprectrl_unfavortemp_f	NO_IMPL	소스에 정의 없음
u8g_drvin_datavalidation_f	NO_IMPL	소스에 정의 없음
u8g_drvin_motorcountspeed	NO_IMPL	소스에 정의 없음
u8g_drvin_motordirection	NO_IMPL	소스에 정의 없음
u8g_drvin_motordirection_old	NO_IMPL	소스에 정의 없음
u8g_motorctrl_motorctrlsts	NO_IMPL	소스에 정의 없음
u8g_motorctrl_motorstop_f	NO_IMPL	소스에 정의 없음
u8g_motorctrl_stopcnt_f	NO_IMPL	소스에 정의 없음
u8g_sbcmmgs2f	NO_IMPL	소스에 정의 없음
u8g_sbcmmgsf	NO_IMPL	소스에 정의 없음
u8g_sysctrl_deactivationresult	NO_IMPL	소스에 정의 없음
u8g_sysctrl_errorprotection	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_dbverinfo[]	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_hwverinfo[]	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_inlinemod_f	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_inlinemodspdchange_f	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_motora1a2output	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_partnoinfo[10]	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_partnoinfo[]	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_proddateinfo[]	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_sleepmode	NO_IMPL	소스에 정의 없음
u8g_syseepromctrl_swverinfo[]	NO_IMPL	소스에 정의 없음
u8g_sysoptctrl_devicetype	NO_IMPL	소스에 정의 없음
u8g_systemreset_f	NO_IMPL	소스에 정의 없음
u8g_systemtm_10ms	NO_IMPL	소스에 정의 없음
u8g_systemtm_50ms	NO_IMPL	소스에 정의 없음
u8g_systemtm_5ms	NO_IMPL	소스에 정의 없음
u8g_sysuds_eepromwritests	NO_IMPL	소스에 정의 없음
u8g_sysuds_usautoopenen_f	NO_IMPL	소스에 정의 없음
u8g_sysuds_usdir	NO_IMPL	소스에 정의 없음
u8g_sysuds_usdoorctrl	NO_IMPL	소스에 정의 없음
u8g_sysuds_ussteplsb	NO_IMPL	소스에 정의 없음
u8g_sysuds_usstepmsb	NO_IMPL	소스에 정의 없음
u8s_deactivationcheck_close	NO_IMPL	소스에 정의 없음
u8s_deactivationcheck_open	NO_IMPL	소스에 정의 없음
